dockey,control_id,control_name,mapping_type,technique_id,technique_name,mapping_description
39,IA-5,Authenticator Management,mitigates,T1003.005,Cached Domain Credentials,
40,IA-5,Authenticator Management,mitigates,T1003.006,DCSync,
41,IA-5,Authenticator Management,mitigates,T1003,OS Credential Dumping,
42,AC-2,Account Management,mitigates,T1072,Software Deployment Tools,
43,AC-3,Access Enforcement,mitigates,T1072,Software Deployment Tools,
44,AC-4,Information Flow Enforcement,mitigates,T1072,Software Deployment Tools,
45,AC-5,Separation Of Duties,mitigates,T1072,Software Deployment Tools,
46,AC-6,Least Privilege,mitigates,T1072,Software Deployment Tools,
47,CM-2,Baseline Configuration,mitigates,T1072,Software Deployment Tools,
48,CM-6,Configuration Settings,mitigates,T1072,Software Deployment Tools,
49,AC-3,Access Enforcement,mitigates,T1134.005,SID-History Injection,
50,AC-4,Information Flow Enforcement,mitigates,T1134.005,SID-History Injection,
51,AC-5,Separation Of Duties,mitigates,T1134.005,SID-History Injection,
52,AC-6,Least Privilege,mitigates,T1134.005,SID-History Injection,
53,AC-20,Use Of External Information Systems,mitigates,T1134.005,SID-History Injection,
54,CM-2,Baseline Configuration,mitigates,T1134.005,SID-History Injection,
55,CM-6,Configuration Settings,mitigates,T1134.005,SID-History Injection,
56,SA-4,Acquisition Process,mitigates,T1134.005,SID-History Injection,
57,SA-8,Security Engineering Principles,mitigates,T1134.005,SID-History Injection,
58,SA-11,Developer Security Testing And Evaluation,mitigates,T1134.005,SID-History Injection,
59,SA-17,Developer Security Architecture And Design,mitigates,T1134.005,SID-History Injection,
60,SC-3,Security Function Isolation,mitigates,T1134.005,SID-History Injection,
61,AC-2,Account Management,mitigates,T1550.003,Pass the Ticket,
62,AC-5,Separation Of Duties,mitigates,T1550.003,Pass the Ticket,
63,AC-6,Least Privilege,mitigates,T1550.003,Pass the Ticket,
64,CM-2,Baseline Configuration,mitigates,T1550.003,Pass the Ticket,
65,CM-6,Configuration Settings,mitigates,T1550.003,Pass the Ticket,
66,IA-5,Authenticator Management,mitigates,T1550.003,Pass the Ticket,
67,AC-2,Account Management,mitigates,T1552.006,Group Policy Preferences,
68,AC-2,Account Management,mitigates,T1552,Unsecured Credentials,
69,AC-5,Separation Of Duties,mitigates,T1552.006,Group Policy Preferences,
70,AC-5,Separation Of Duties,mitigates,T1552,Unsecured Credentials,
71,AC-6,Least Privilege,mitigates,T1552.006,Group Policy Preferences,
72,AC-6,Least Privilege,mitigates,T1552,Unsecured Credentials,
73,CM-2,Baseline Configuration,mitigates,T1552.006,Group Policy Preferences,
74,CM-2,Baseline Configuration,mitigates,T1552,Unsecured Credentials,
75,CM-6,Configuration Settings,mitigates,T1552.006,Group Policy Preferences,
76,CM-6,Configuration Settings,mitigates,T1552,Unsecured Credentials,
77,IA-5,Authenticator Management,mitigates,T1552.006,Group Policy Preferences,
78,IA-5,Authenticator Management,mitigates,T1552,Unsecured Credentials,
79,AC-2,Account Management,mitigates,T1558.001,Golden Ticket,
80,AC-2,Account Management,mitigates,T1558,Steal or Forge Kerberos Tickets,
81,AC-5,Separation Of Duties,mitigates,T1558.001,Golden Ticket,
82,AC-5,Separation Of Duties,mitigates,T1558,Steal or Forge Kerberos Tickets,
83,AC-6,Least Privilege,mitigates,T1558.001,Golden Ticket,
84,AC-6,Least Privilege,mitigates,T1558,Steal or Forge Kerberos Tickets,
85,CM-2,Baseline Configuration,mitigates,T1558.001,Golden Ticket,
86,CM-2,Baseline Configuration,mitigates,T1558,Steal or Forge Kerberos Tickets,
87,CM-6,Configuration Settings,mitigates,T1558.001,Golden Ticket,
88,CM-6,Configuration Settings,mitigates,T1558,Steal or Forge Kerberos Tickets,
89,IA-5,Authenticator Management,mitigates,T1558.001,Golden Ticket,
90,IA-5,Authenticator Management,mitigates,T1558,Steal or Forge Kerberos Tickets,
91,CA-2,Security Assessments,mitigates,T1190,Exploit Public-Facing Application,
92,CA-7,Continuous Monitoring,mitigates,T1190,Exploit Public-Facing Application,
93,RA-5,Vulnerability Scanning,mitigates,T1190,Exploit Public-Facing Application,
94,CA-2,Security Assessments,mitigates,T1195.001,Compromise Software Dependencies and Development Tools,
95,CA-2,Security Assessments,mitigates,T1195.002,Compromise Software Supply Chain,
96,CA-2,Security Assessments,mitigates,T1195,Supply Chain Compromise,
97,CA-7,Continuous Monitoring,mitigates,T1195.001,Compromise Software Dependencies and Development Tools,
98,CA-7,Continuous Monitoring,mitigates,T1195.002,Compromise Software Supply Chain,
99,CA-7,Continuous Monitoring,mitigates,T1195,Supply Chain Compromise,
100,RA-5,Vulnerability Scanning,mitigates,T1195.001,Compromise Software Dependencies and Development Tools,
101,RA-5,Vulnerability Scanning,mitigates,T1195.002,Compromise Software Supply Chain,
102,RA-5,Vulnerability Scanning,mitigates,T1195,Supply Chain Compromise,
103,CA-2,Security Assessments,mitigates,T1210,Exploitation of Remote Services,
104,CA-7,Continuous Monitoring,mitigates,T1210,Exploitation of Remote Services,
105,RA-5,Vulnerability Scanning,mitigates,T1210,Exploitation of Remote Services,
106,CA-7,Continuous Monitoring,mitigates,T1003.005,Cached Domain Credentials,
107,CA-7,Continuous Monitoring,mitigates,T1003.004,LSA Secrets,
108,CA-7,Continuous Monitoring,mitigates,T1003.001,LSASS Memory,
109,CA-7,Continuous Monitoring,mitigates,T1003.003,NTDS,
110,CA-7,Continuous Monitoring,mitigates,T1003,OS Credential Dumping,
111,CA-7,Continuous Monitoring,mitigates,T1003.002,Security Account Manager,
112,CM-2,Baseline Configuration,mitigates,T1003.004,LSA Secrets,
113,CM-2,Baseline Configuration,mitigates,T1003.001,LSASS Memory,
114,CM-2,Baseline Configuration,mitigates,T1003.003,NTDS,
115,CM-2,Baseline Configuration,mitigates,T1003.002,Security Account Manager,
116,CM-6,Configuration Settings,mitigates,T1003.004,LSA Secrets,
117,CM-6,Configuration Settings,mitigates,T1003.001,LSASS Memory,
118,CM-6,Configuration Settings,mitigates,T1003.003,NTDS,
119,CM-6,Configuration Settings,mitigates,T1003.002,Security Account Manager,
120,SC-28,Protection Of Information At Rest,mitigates,T1003.005,Cached Domain Credentials,
121,SC-28,Protection Of Information At Rest,mitigates,T1003.004,LSA Secrets,
122,SC-28,Protection Of Information At Rest,mitigates,T1003.001,LSASS Memory,
123,SC-28,Protection Of Information At Rest,mitigates,T1003.003,NTDS,
124,SC-28,Protection Of Information At Rest,mitigates,T1003,OS Credential Dumping,
125,SC-28,Protection Of Information At Rest,mitigates,T1003.002,Security Account Manager,
126,SC-39,Process Isolation,mitigates,T1003.005,Cached Domain Credentials,
127,SC-39,Process Isolation,mitigates,T1003.004,LSA Secrets,
128,SC-39,Process Isolation,mitigates,T1003.001,LSASS Memory,
129,SC-39,Process Isolation,mitigates,T1003.003,NTDS,
130,SC-39,Process Isolation,mitigates,T1003,OS Credential Dumping,
131,SC-39,Process Isolation,mitigates,T1003.002,Security Account Manager,
132,SI-3,Malicious Code Protection,mitigates,T1003.005,Cached Domain Credentials,
133,SI-3,Malicious Code Protection,mitigates,T1003.004,LSA Secrets,
134,SI-3,Malicious Code Protection,mitigates,T1003.001,LSASS Memory,
135,SI-3,Malicious Code Protection,mitigates,T1003.003,NTDS,
136,SI-3,Malicious Code Protection,mitigates,T1003,OS Credential Dumping,
137,SI-3,Malicious Code Protection,mitigates,T1003.002,Security Account Manager,
138,SI-4,Information System Monitoring,mitigates,T1003.005,Cached Domain Credentials,
139,SI-4,Information System Monitoring,mitigates,T1003.004,LSA Secrets,
140,SI-4,Information System Monitoring,mitigates,T1003.001,LSASS Memory,
141,SI-4,Information System Monitoring,mitigates,T1003.003,NTDS,
142,SI-4,Information System Monitoring,mitigates,T1003,OS Credential Dumping,
143,SI-4,Information System Monitoring,mitigates,T1003.002,Security Account Manager,
144,IA-2,Identification And Authentication (Organizational Users),mitigates,T1003.004,LSA Secrets,
145,IA-2,Identification And Authentication (Organizational Users),mitigates,T1003.001,LSASS Memory,
146,IA-2,Identification And Authentication (Organizational Users),mitigates,T1003.003,NTDS,
147,IA-2,Identification And Authentication (Organizational Users),mitigates,T1003.002,Security Account Manager,
148,IA-5,Authenticator Management,mitigates,T1003.004,LSA Secrets,
149,IA-5,Authenticator Management,mitigates,T1003.001,LSASS Memory,
150,IA-5,Authenticator Management,mitigates,T1003.003,NTDS,
151,IA-5,Authenticator Management,mitigates,T1003.002,Security Account Manager,
152,AC-2,Account Management,mitigates,T1003.004,LSA Secrets,
153,AC-2,Account Management,mitigates,T1003.001,LSASS Memory,
154,AC-2,Account Management,mitigates,T1003.003,NTDS,
155,AC-2,Account Management,mitigates,T1003.002,Security Account Manager,
156,AC-6,Least Privilege,mitigates,T1003.004,LSA Secrets,
157,AC-6,Least Privilege,mitigates,T1003.001,LSASS Memory,
158,AC-6,Least Privilege,mitigates,T1003.003,NTDS,
159,AC-6,Least Privilege,mitigates,T1003.002,Security Account Manager,
160,SI-3,Malicious Code Protection,mitigates,T1056.002,GUI Input Capture,
161,SI-4,Information System Monitoring,mitigates,T1056.002,GUI Input Capture,
162,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1056.002,GUI Input Capture,
163,CA-7,Continuous Monitoring,mitigates,T1056.002,GUI Input Capture,
164,CM-8,Information System Component Inventory,mitigates,T1072,Software Deployment Tools,
165,CM-2,Baseline Configuration,mitigates,T1111,Two-Factor Authentication Interception,
166,CM-6,Configuration Settings,mitigates,T1111,Two-Factor Authentication Interception,
167,CA-7,Continuous Monitoring,mitigates,T1111,Two-Factor Authentication Interception,
168,SI-3,Malicious Code Protection,mitigates,T1111,Two-Factor Authentication Interception,
169,SI-4,Information System Monitoring,mitigates,T1111,Two-Factor Authentication Interception,
170,IA-2,Identification And Authentication (Organizational Users),mitigates,T1111,Two-Factor Authentication Interception,
171,IA-5,Authenticator Management,mitigates,T1111,Two-Factor Authentication Interception,
172,CA-7,Continuous Monitoring,mitigates,T1176,Browser Extensions,
173,CM-2,Baseline Configuration,mitigates,T1176,Browser Extensions,
174,CM-3,Configuration Change Control,mitigates,T1176,Browser Extensions,
175,CM-5,Access Restrictions For Change,mitigates,T1176,Browser Extensions,
176,CM-6,Configuration Settings,mitigates,T1176,Browser Extensions,
177,CM-11,User-Installed Software,mitigates,T1176,Browser Extensions,
178,SI-3,Malicious Code Protection,mitigates,T1176,Browser Extensions,
179,SI-4,Information System Monitoring,mitigates,T1176,Browser Extensions,
180,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1176,Browser Extensions,
181,SI-3,Malicious Code Protection,mitigates,T1185,Man in the Browser,
182,SI-4,Information System Monitoring,mitigates,T1185,Man in the Browser,
183,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1185,Man in the Browser,
184,CA-7,Continuous Monitoring,mitigates,T1185,Man in the Browser,
185,AC-2,Account Management,mitigates,T1185,Man in the Browser,
186,CM-2,Baseline Configuration,mitigates,T1185,Man in the Browser,
187,SI-3,Malicious Code Protection,mitigates,T1204.002,Malicious File,
188,SI-3,Malicious Code Protection,mitigates,T1204.001,Malicious Link,
189,SI-3,Malicious Code Protection,mitigates,T1204,User Execution,
190,SI-4,Information System Monitoring,mitigates,T1204.002,Malicious File,
191,SI-4,Information System Monitoring,mitigates,T1204.001,Malicious Link,
192,SI-4,Information System Monitoring,mitigates,T1204,User Execution,
193,SI-8,Spam Protection,mitigates,T1204.002,Malicious File,
194,SI-8,Spam Protection,mitigates,T1204.001,Malicious Link,
195,SI-8,Spam Protection,mitigates,T1204,User Execution,
196,CA-7,Continuous Monitoring,mitigates,T1204.002,Malicious File,
197,CA-7,Continuous Monitoring,mitigates,T1204.001,Malicious Link,
198,CA-7,Continuous Monitoring,mitigates,T1204,User Execution,
199,SC-7,Boundary Protection,mitigates,T1204.002,Malicious File,
200,SC-7,Boundary Protection,mitigates,T1204.001,Malicious Link,
201,SC-7,Boundary Protection,mitigates,T1204,User Execution,
202,SC-44,Detonation Chambers,mitigates,T1204.002,Malicious File,
203,SC-44,Detonation Chambers,mitigates,T1204.001,Malicious Link,
204,SC-44,Detonation Chambers,mitigates,T1204,User Execution,
205,AC-4,Information Flow Enforcement,mitigates,T1204.002,Malicious File,
206,AC-4,Information Flow Enforcement,mitigates,T1204.001,Malicious Link,
207,AC-4,Information Flow Enforcement,mitigates,T1204,User Execution,
208,CM-2,Baseline Configuration,mitigates,T1204.002,Malicious File,
209,CM-2,Baseline Configuration,mitigates,T1204.001,Malicious Link,
210,CM-2,Baseline Configuration,mitigates,T1204,User Execution,
211,CM-6,Configuration Settings,mitigates,T1204.002,Malicious File,
212,CM-6,Configuration Settings,mitigates,T1204.001,Malicious Link,
213,CM-6,Configuration Settings,mitigates,T1204,User Execution,
214,AC-2,Account Management,mitigates,T1213.001,Confluence,
215,AC-2,Account Management,mitigates,T1213,Data from Information Repositories,
216,AC-2,Account Management,mitigates,T1213.002,Sharepoint,
217,AC-3,Access Enforcement,mitigates,T1213.001,Confluence,
218,AC-3,Access Enforcement,mitigates,T1213,Data from Information Repositories,
219,AC-3,Access Enforcement,mitigates,T1213.002,Sharepoint,
220,AC-4,Information Flow Enforcement,mitigates,T1213.001,Confluence,
221,AC-4,Information Flow Enforcement,mitigates,T1213,Data from Information Repositories,
222,AC-4,Information Flow Enforcement,mitigates,T1213.002,Sharepoint,
223,AC-6,Least Privilege,mitigates,T1213.001,Confluence,
224,AC-6,Least Privilege,mitigates,T1213,Data from Information Repositories,
225,AC-6,Least Privilege,mitigates,T1213.002,Sharepoint,
226,AC-16,Security Attributes,mitigates,T1213.001,Confluence,
227,AC-16,Security Attributes,mitigates,T1213,Data from Information Repositories,
228,AC-16,Security Attributes,mitigates,T1213.002,Sharepoint,
229,AC-17,Remote Access,mitigates,T1213.001,Confluence,
230,AC-17,Remote Access,mitigates,T1213,Data from Information Repositories,
231,AC-17,Remote Access,mitigates,T1213.002,Sharepoint,
232,AC-21,Information Sharing,mitigates,T1213.001,Confluence,
233,AC-21,Information Sharing,mitigates,T1213,Data from Information Repositories,
234,AC-21,Information Sharing,mitigates,T1213.002,Sharepoint,
235,AC-23,Data Mining Protection,mitigates,T1213.001,Confluence,
236,AC-23,Data Mining Protection,mitigates,T1213,Data from Information Repositories,
237,AC-23,Data Mining Protection,mitigates,T1213.002,Sharepoint,
238,CA-7,Continuous Monitoring,mitigates,T1213.001,Confluence,
239,CA-7,Continuous Monitoring,mitigates,T1213,Data from Information Repositories,
240,CA-7,Continuous Monitoring,mitigates,T1213.002,Sharepoint,
241,CM-2,Baseline Configuration,mitigates,T1213.001,Confluence,
242,CM-2,Baseline Configuration,mitigates,T1213,Data from Information Repositories,
243,CM-2,Baseline Configuration,mitigates,T1213.002,Sharepoint,
244,CM-3,Configuration Change Control,mitigates,T1213.001,Confluence,
245,CM-3,Configuration Change Control,mitigates,T1213,Data from Information Repositories,
246,CM-3,Configuration Change Control,mitigates,T1213.002,Sharepoint,
247,CM-5,Access Restrictions For Change,mitigates,T1213.001,Confluence,
248,CM-5,Access Restrictions For Change,mitigates,T1213,Data from Information Repositories,
249,CM-5,Access Restrictions For Change,mitigates,T1213.002,Sharepoint,
250,CM-6,Configuration Settings,mitigates,T1213.001,Confluence,
251,CM-6,Configuration Settings,mitigates,T1213,Data from Information Repositories,
252,CM-6,Configuration Settings,mitigates,T1213.002,Sharepoint,
253,CM-8,Information System Component Inventory,mitigates,T1213.001,Confluence,
254,CM-8,Information System Component Inventory,mitigates,T1213,Data from Information Repositories,
255,CM-8,Information System Component Inventory,mitigates,T1213.002,Sharepoint,
256,SC-28,Protection Of Information At Rest,mitigates,T1213.001,Confluence,
257,SC-28,Protection Of Information At Rest,mitigates,T1213,Data from Information Repositories,
258,SC-28,Protection Of Information At Rest,mitigates,T1213.002,Sharepoint,
259,SI-4,Information System Monitoring,mitigates,T1213.001,Confluence,
260,SI-4,Information System Monitoring,mitigates,T1213,Data from Information Repositories,
261,SI-4,Information System Monitoring,mitigates,T1213.002,Sharepoint,
262,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1213.001,Confluence,
263,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1213,Data from Information Repositories,
264,SI-7,"Software, Firmware, And Information Integrity",mitigates,T1213.002,Sharepoint,
265,SI-3,Malicious Code Protection,mitigates,T1221,Template Injection,
266,SI-4,Information System Monitoring,mitigates,T1221,Template Injection,
267,SI-8,Spam Protection,mitigates,T1221,Template Injection,
268,SC-7,Boundary Protection,mitigates,T1221,Template Injection,
269,SC-44,Detonation Chambers,mitigates,T1221,Template Injection,
270,CA-7,Continuous Monitoring,mitigates,T1221,Template Injection,
271,CM-2,Baseline Configuration,mitigates,T1221,Template Injection,
272,CM-6,Configuration Settings,mitigates,T1221,Template Injection,
273,AC-2,Account Management,mitigates,T1528,Steal Application Access Token,
274,AC-3,Access Enforcement,mitigates,T1528,Steal Application Access Token,
275,AC-4,Information Flow Enforcement,mitigates,T1528,Steal Application Access Token,
276,AC-5,Separation Of Duties,mitigates,T1528,Steal Application Access Token,
277,AC-6,Least Privilege,mitigates,T1528,Steal Application Access Token,
278,AC-10,Concurrent Session Control,mitigates,T1528,Steal Application Access Token,
279,CM-2,Baseline Configuration,mitigates,T1528,Steal Application Access Token,
280,CM-6,Configuration Settings,mitigates,T1528,Steal Application Access Token,
281,CA-7,Continuous Monitoring,mitigates,T1528,Steal Application Access Token,
282,SI-4,Information System Monitoring,mitigates,T1528,Steal Application Access Token,
283,IA-2,Identification And Authentication (Organizational Users),mitigates,T1528,Steal Application Access Token,
284,IA-4,Identifier Management,mitigates,T1528,Steal Application Access Token,
285,CM-2,Baseline Configuration,mitigates,T1539,Steal Web Session Cookie,
286,CM-6,Configuration Settings,mitigates,T1539,Steal Web Session Cookie,
287,CA-7,Continuous Monitoring,mitigates,T1539,Steal Web Session Cookie,
288,SI-3,Malicious Code Protection,mitigates,T1539,Steal Web Session Cookie,
289,SI-4,Information System Monitoring,mitigates,T1539,Steal Web Session Cookie,
290,CM-2,Baseline Configuration,mitigates,T1547.011,Plist Modification,
291,CM-2,Baseline Configuration,mitigates,T1547.007,Re-opened Applications,
292,CM-3,Configuration Change Control,mitigates,T1547.011,Plist Modification,
293,CM-3,Configuration Change Control,mitigates,T1547.007,Re-opened Applications,
294,CM-5,Access Restrictions For Change,mitigates,T1547.011,Plist Modification,
295,CM-5,Access Restrictions For Change,mitigates,T1547.007,Re-opened Applications,
296,CM-6,Configuration Settings,mitigates,T1547.011,Plist Modification,
297,CM-6,Configuration Settings,mitigates,T1547.007,Re-opened Applications,
298,CM-7,Least Functionality,mitigates,T1547.011,Plist Modification,
299,CM-7,Least Functionality,mitigates,T1547.007,Re-opened Applications,
300,AC-3,Access Enforcement,mitigates,T1547.011,Plist Modification,
301,AC-3,Access Enforcement,mitigates,T1547.007,Re-opened Applications,
302,AC-16,Security Attributes,mitigates,T1547.011,Plist Modification,
303,AC-16,Security Attributes,mitigates,T1547.007,Re-opened Applications,
304,SI-4,Information System Monitoring,mitigates,T1547.011,Plist Modification,
305,SI-4,Information System Monitoring,mitigates,T1547.007,Re-opened Applications,
306,CM-2,Baseline Configuration,mitigates,T1552.001,Credentials In Files,
307,CM-6,Configuration Settings,mitigates,T1552.001,Credentials In Files,
308,IA-2,Identification And Authentication (Organizational Users),mitigates,T1552.001,Credentials In Files,
309,IA-2,Identification And Authentication (Organizational Users),mitigates,T1552,Unsecured Credentials,
310,AC-2,Account Management,mitigates,T1552.001,Credentials In Files,
311,AC-4,Information Flow Enforcement,mitigates,T1552.001,Credentials In Files,
312,AC-4,Information Flow Enforcement,mitigates,T1552,Unsecured Credentials,
313,AC-5,Separation Of Duties,mitigates,T1552.001,Credentials In Files,
314,AC-6,Least Privilege,mitigates,T1552.001,Credentials In Files,
315,CA-7,Continuous Monitoring,mitigates,T1552.001,Credentials In Files,
316,CA-7,Continuous Monitoring,mitigates,T1552,Unsecured Credentials,
317,SC-7,Boundary Protection,mitigates,T1552.001,Credentials In Files,
318,SC-7,Boundary Protection,mitigates,T1552,Unsecured Credentials,
319,SC-28,Protection Of Information At Rest,mitigates,T1552.001,Credentials In Files,
320,SC-28,Protection Of Information At Rest,mitigates,T1552,Unsecured Credentials,
321,SC-23,Session Authenticity,mitigates,T1557.002,ARP Cache Poisoning,
322,SC-23,Session Authenticity,mitigates,T1557,Man-in-the-Middle,
323,SI-3,Malicious Code Protection,mitigates,T1566,Phishing,
324,SI-3,Malicious Code Protection,mitigates,T1566.001,Spearphishing Attachment,
325,SI-3,Malicious Code Protection,mitigates,T1566.002,Spearphishing Link,
326,SI-3,Malicious Code Protection,mitigates,T1566.003,Spearphishing via Service,
327,SI-4,Information System Monitoring,mitigates,T1566,Phishing,
328,SI-4,Information System Monitoring,mitigates,T1566.001,Spearphishing Attachment,
329,SI-4,Information System Monitoring,mitigates,T1566.002,Spearphishing Link,
330,SI-4,Information System Monitoring,mitigates,T1566.003,Spearphishing via Service,
331,SI-8,Spam Protection,mitigates,T1566,Phishing,
332,SI-8,Spam Protection,mitigates,T1566.001,Spearphishing Attachment,
333,SI-8,Spam Protection,mitigates,T1566.002,Spearphishing Link,
334,SI-8,Spam Protection,mitigates,T1566.003,Spearphishing via Service,
335,CA-7,Continuous Monitoring,mitigates,T1566,Phishing,
336,CA-7,Continuous Monitoring,mitigates,T1566.001,Spearphishing Attachment,
337,CA-7,Continuous Monitoring,mitigates,T1566.002,Spearphishing Link,
338,CA-7,Continuous Monitoring,mitigates,T1566.003,Spearphishing via Service,
339,SC-7,Boundary Protection,mitigates,T1566,Phishing,
340,SC-7,Boundary Protection,mitigates,T1566.001,Spearphishing Attachment,
341,SC-7,Boundary Protection,mitigates,T1566.002,Spearphishing Link,
342,SC-7,Boundary Protection,mitigates,T1566.003,Spearphishing via Service,
343,SC-44,Detonation Chambers,mitigates,T1566,Phishing,
344,SC-44,Detonation Chambers,mitigates,T1566.001,Spearphishing Attachment,
345,SC-44,Detonation Chambers,mitigates,T1566.002,Spearphishing Link,
346,SC-44,Detonation Chambers,mitigates,T1566.003,Spearphishing via Service,
347,AC-4,Information Flow Enforcement,mitigates,T1566,Phishing,
348,AC-4,Information Flow Enforcement,mitigates,T1566.001,Spearphishing Attachment,
349,AC-4,Information Flow Enforcement,mitigates,T1566.002,Spearphishing Link,
350,AC-4,Information Flow Enforcement,mitigates,T1566.003,Spearphishing via Service,
351,SI-3,Malicious Code Protection,mitigates,T1598,Phishing for Information,
352,SI-3,Malicious Code Protection,mitigates,T1598.002,Spearphishing Attachment,
353,SI-3,Malicious Code Protection,mitigates,T1598.003,Spearphishing Link,
354,SI-3,Malicious Code Protection,mitigates,T1598.001,Spearphishing Service,
355,SI-4,Information System Monitoring,mitigates,T1598,Phishing for Information,
356,SI-4,Information System Monitoring,mitigates,T1598.002,Spearphishing Attachment,
357,SI-4,Information System Monitoring,mitigates,T1598.003,Spearphishing Link,
358,SI-4,Information System Monitoring,mitigates,T1598.001,Spearphishing Service,
359,SI-8,Spam Protection,mitigates,T1598,Phishing for Information,
360,SI-8,Spam Protection,mitigates,T1598.002,Spearphishing Attachment,
361,SI-8,Spam Protection,mitigates,T1598.003,Spearphishing Link,
362,SI-8,Spam Protection,mitigates,T1598.001,Spearphishing Service,
363,CA-7,Continuous Monitoring,mitigates,T1598,Phishing for Information,
364,CA-7,Continuous Monitoring,mitigates,T1598.002,Spearphishing Attachment,
365,CA-7,Continuous Monitoring,mitigates,T1598.003,Spearphishing Link,
366,CA-7,Continuous Monitoring,mitigates,T1598.001,Spearphishing Service,
367,SC-7,Boundary Protection,mitigates,T1598,Phishing for Information,
368,SC-7,Boundary Protection,mitigates,T1598.002,Spearphishing Attachment,
369,SC-7,Boundary Protection,mitigates,T1598.003,Spearphishing Link,
370,SC-7,Boundary Protection,mitigates,T1598.001,Spearphishing Service,
371,SC-44,Detonation Chambers,mitigates,T1598,Phishing for Information,
372,SC-44,Detonation Chambers,mitigates,T1598.002,Spearphishing Attachment,
373,SC-44,Detonation Chambers,mitigates,T1598.003,Spearphishing Link,
374,SC-44,Detonation Chambers,mitigates,T1598.001,Spearphishing Service,
375,AC-4,Information Flow Enforcement,mitigates,T1598,Phishing for Information,
376,AC-4,Information Flow Enforcement,mitigates,T1598.002,Spearphishing Attachment,
377,AC-4,Information Flow Enforcement,mitigates,T1598.003,Spearphishing Link,
378,AC-4,Information Flow Enforcement,mitigates,T1598.001,Spearphishing Service,
379,AC-2,Account Management,mitigates,T1021.001,Remote Desktop Protocol,
380,AC-2,Account Management,mitigates,T1021,Remote Services,
381,AC-2,Account Management,mitigates,T1021.004,SSH,
382,AC-3,Access Enforcement,mitigates,T1021.001,Remote Desktop Protocol,
383,AC-3,Access Enforcement,mitigates,T1021,Remote Services,
384,AC-3,Access Enforcement,mitigates,T1021.004,SSH,
385,AC-5,Separation Of Duties,mitigates,T1021.001,Remote Desktop Protocol,
386,AC-5,Separation Of Duties,mitigates,T1021,Remote Services,
387,AC-5,Separation Of Duties,mitigates,T1021.004,SSH,
